unit_id,bucket,manifesto,sequence,section,text,master_code,master_rile,full_class_n,full_class_cat_distinct,full_class_cat_modal_share,full_class_cat_1mmodal,full_class_cat_Hnorm,full_class_rile_distinct,full_class_rile_1mmodal,full_class_rile_modal,retained_class_n,retained_class_cat_distinct,retained_class_cat_modal_share,retained_class_cat_1mmodal,retained_class_cat_Hnorm,retained_class_rile_distinct,retained_class_rile_1mmodal,retained_class_rile_modal
NZ-022,high-split,NZ,22,SUPERANNUATION,Seldom has any policy released by an opposition party had the impact that the National Superannuation scheme has had.,504,left,23,5,0.34782608695652173,0.6521739130434783,0.43137096449524487,3,0.6086956521739131,left,12,3,0.4166666666666667,0.5833333333333333,0.4137716237431475,3,0.5833333333333333,right
NZ-007,high-split,NZ,7,THE ECONOMY,Continuous attention to economic trends and problems will replace stop-go and panic measures.,408,none,23,7,0.43478260869565216,0.5652173913043479,0.48593854390084895,3,0.5652173913043479,none,12,5,0.5,0.5,0.546490490941855,3,0.5,none
NZ-023,high-split,NZ,23,SUPERANNUATION,It is designed to give every New Zealander dignity and a decent income in retirement.,504,left,23,7,0.43478260869565216,0.5652173913043479,0.4931941526589626,3,0.5652173913043479,none,12,3,0.6666666666666666,0.33333333333333337,0.33158558152330525,2,0.33333333333333337,left
NZ-044,high-split,NZ,44,SUPERANNUATION,"In recent weeks, the Government has been making moves to compensate for the weaknesses revealed in their own scheme, when compared with National's.",503,none,23,7,0.391304347826087,0.6086956521739131,0.5300562442053607,3,0.5652173913043479,none,12,3,0.5833333333333334,0.41666666666666663,0.3861774018729913,3,0.41666666666666663,right
GB-061,mid-split,GB,61,PARTNERSHIP IN INDUSTRY,"To be fully effective, proposals for participation in industry need to be buttressed by action on two fronts:",202,left,32,7,0.46875,0.53125,0.4445748659961364,2,0.25,none,17,4,0.5882352941176471,0.4117647058823529,0.3780223226998912,2,0.3529411764705882,none
GB-066,mid-split,GB,66,PARTICIPATION AT WORK,"incentives for employee share-ownership,",701,left,32,8,0.46875,0.53125,0.45173265991942796,3,0.4375,left,17,6,0.4117647058823529,0.5882352941176471,0.5213322208645437,3,0.4117647058823529,left
GB-071,mid-split,GB,71,GOVERNMENT AND INDUSTRY — Priority for Industry,The role of an Alliance government in relation to private industry will be to provide selective assistance taking a number of forms:,402,right,32,9,0.46875,0.53125,0.49151095977317977,3,0.4375,right,17,6,0.6470588235294118,0.3529411764705882,0.4235781697433843,3,0.23529411764705888,right
GB-090,mid-split,GB,90,GOVERNMENT AND INDUSTRY — New and Small Business,Tailoring national legislation such as the Health and Safety Regulations to the needs of small businesses,402,right,32,8,0.46875,0.53125,0.45147113504463776,3,0.40625,right,17,4,0.47058823529411764,0.5294117647058824,0.429969410871824,2,0.4117647058823529,right
GB-104,mid-split,GB,104,Education and training,And it is not just a matter of school-leavers.,506,left,32,8,0.46875,0.53125,0.43372900666170133,3,0.5,left,17,2,0.7647058823529411,0.23529411764705888,0.19257094602980906,2,0.23529411764705888,left
GB-105,mid-split,GB,105,Education and training,Our managers are less professionally qualified than our main competitors.,411,none,32,7,0.46875,0.53125,0.3833930828803872,3,0.5,left,17,2,0.5882352941176471,0.4117647058823529,0.23912579893428051,2,0.4117647058823529,left
NZ-001,mid-split,NZ,1,THE ECONOMY,"In 1972 New Zealand had, for the first time, more overseas reserves than total overseas debt.",414,right,23,7,0.4782608695652174,0.5217391304347826,0.5043966860990454,3,0.3913043478260869,right,12,5,0.5833333333333334,0.41666666666666663,0.49670592904742644,2,0.25,right
NZ-006,mid-split,NZ,6,THE ECONOMY,The first three years of the coming National Government will be very largely devoted to restoring New Zealand's shattered economy.,408,none,23,6,0.4782608695652174,0.5217391304347826,0.44576776827830605,3,0.4782608695652174,none,12,4,0.5,0.5,0.48245245470927484,3,0.5,none
NZ-009,mid-split,NZ,9,THE ECONOMY,We will take steps to stimulate savings.,414,right,23,5,0.4782608695652174,0.5217391304347826,0.3600361313496317,3,0.13043478260869568,right,12,2,0.75,0.25,0.22630030977895446,1,0.0,right
NZ-014,mid-split,NZ,14,THE ECONOMY,People without jobs represent waste of productive effort:,410,none,23,9,0.4782608695652174,0.5217391304347826,0.5226598480896116,3,0.17391304347826086,none,12,4,0.5,0.5,0.4535095090581451,3,0.16666666666666663,none
GB-107,high-agreement,GB,107,Education and training,"To do this, to raise standards in education and training and to improve their effectiveness is the object of proposals set out in the next Section.",411,none,32,2,0.78125,0.21875,0.15157569250767908,2,0.21875,left,17,2,0.8235294117647058,0.17647058823529416,0.16447729146082843,2,0.17647058823529416,left
NZ-063,high-agreement,NZ,63,WOMEN'S RIGHTS,Suitably qualified women will be given exactly the same consideration as men.,503,none,23,4,0.782608695652174,0.21739130434782605,0.23287138779559585,1,0.0,none,12,2,0.8333333333333334,0.16666666666666663,0.18131916903387266,1,0.0,none
GB-053,high-agreement,GB,53,STRATEGY FOR INDUSTRIAL SUCCESS,We are all in it together.,606,right,32,6,0.8125,0.1875,0.22367854580207253,2,0.1875,right,17,4,0.8235294117647058,0.17647058823529416,0.23290586823232665,2,0.17647058823529416,right
NZ-034,high-agreement,NZ,34,SUPERANNUATION,"At present both these benefits pay $51.26 to a married couple and $30.75 to a single person, so even in the first year of National Superannuation, a married couple over 60 who have no other income will have $6.18 a week more to spend than they do now and a single beneficiary will receive, after tax, $3.15 a week more than he now gets by way of age benefits, or universal superannuation.",504,left,23,3,0.8260869565217391,0.17391304347826086,0.17854739551991317,2,0.17391304347826086,left,12,2,0.9166666666666666,0.08333333333333337,0.11543129118376824,2,0.08333333333333337,left
NZ-070,high-agreement,NZ,70,WOMEN'S RIGHTS,Under National the Housing Corporation will not differentiate between men and women borrowers on grounds of sex.,503,none,23,4,0.8260869565217391,0.17391304347826086,0.20502602423085342,2,0.04347826086956519,none,12,2,0.9166666666666666,0.08333333333333337,0.11543129118376824,1,0.0,none
GB-056,high-agreement,GB,56,STRATEGY FOR INDUSTRIAL SUCCESS,The Alliance is committed to policies which will invest resources in the high-technology industries of the future.,411,none,32,4,0.875,0.125,0.14621288863991927,2,0.0625,none,17,2,0.9411764705882353,0.05882352941176472,0.07896266496667848,1,0.0,none
NZ-008,high-agreement,NZ,8,THE ECONOMY,And the taxation system will be used to give incentives for desirable economic activity.,402,right,23,3,0.9130434782608695,0.08695652173913049,0.11344714269915647,2,0.04347826086956519,right,12,2,0.9166666666666666,0.08333333333333337,0.11543129118376824,2,0.08333333333333337,right
GB-077,high-agreement,GB,77,GOVERNMENT AND INDUSTRY — Priority for Industry,encourage the introduction of crucial technologies,411,none,32,3,0.9375,0.0625,0.07995801332340277,2,0.03125,none,17,3,0.8823529411764706,0.11764705882352944,0.15662685098921497,2,0.05882352941176472,none
NZ-064,high-agreement,NZ,64,WOMEN'S RIGHTS,National will ensure that early childhood education is generally available (where feasible) as an integral part of the education system.,506,left,23,2,0.9565217391304348,0.04347826086956519,0.057038827183372734,2,0.04347826086956519,left,12,1,1.0,0.0,0.0,1,0.0,left
GB-074,high-agreement,GB,74,GOVERNMENT AND INDUSTRY — Priority for Industry,particularly involving the development of new technologies,411,none,32,2,0.96875,0.03125,0.04012446486254293,2,0.03125,none,17,2,0.9411764705882353,0.05882352941176472,0.07896266496667848,2,0.05882352941176472,none
